epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.9265683968861897,0.5184900690692659,0.8590806330067822,0.6437812280209616,0.7728380430710128,0.6662594574190124
2,0.3107446524302165,0.38349826724886804,0.8590806330067822,0.6394482126123137,0.8365575150878712,0.6842810898294026
3,0.14801216753323873,0.5441761784921888,0.8854559155990958,0.7097182247538759,0.8505344474875244,0.7356319794095112
4,0.05539100178082784,0.42146528153466206,0.9065561416729465,0.8468428911337597,0.8629112722360304,0.8344029032956802
5,0.043664068698883056,0.7266980100594344,0.8899773926149209,0.6457093380082675,0.8390062726142167,0.7130382815761529
6,0.02791238538424174,0.7441594460533445,0.8764129615674454,0.6289048879236112,0.8667817056374373,0.6991358283366396
7,0.017498882214228312,0.5190998446070016,0.9171062547098718,0.7758408648900772,0.8980662529485333,0.8238844599447562
8,0.012805843750635783,0.489211043111351,0.9314242652599849,0.8697970782469483,0.909032821286783,0.8847897427349676
9,0.005608512004216512,0.6092902554905122,0.9314242652599849,0.8559458121995966,0.890058462312424,0.8662540203273693
10,0.019482618014017742,0.6505164136182314,0.9193669932177845,0.776440565371863,0.8737752764717162,0.8184434361580342
11,0.0002839702765146891,0.7423277317175042,0.9042954031650339,0.7043216564710608,0.8945810435477032,0.7736614115514561
12,0.0005766832828521728,0.6188997589023664,0.9178598342125094,0.8383380597896727,0.8881253256359244,0.8535701251113155
