group,feature,count,mean,std,median,min,max,p10,p25,p75,p90
ICBHI_134 audio files,audio_duration,5,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
ICBHI_134 audio files,rms,5,0.1342994436621666,0.04230797022142191,0.14148712158203125,0.07351764291524887,0.1751445233821869,0.08884179145097733,0.11182801425457001,0.16951991617679596,0.1728946805000305
ICBHI_134 audio files,peak,5,0.5212462186813355,0.12341981271021209,0.5350096225738525,0.3258920907974243,0.628950834274292,0.39312474727630614,0.4939737319946289,0.6224048137664795,0.626332426071167
ICBHI_134 audio files,zcr,5,0.0008191109257109691,9.515509945506826e-05,0.0008039778910330818,0.0007294462782936738,0.0009448228017991875,0.0007302397707486942,0.0007314300094312246,0.0008858776479976785,0.0009212447402785839
ICBHI_134 audio files,spectral_centroid,5,250.51837231441064,57.29678135092486,268.88053894653933,189.64250591020263,323.6160381741725,191.68300866135218,194.74376278807648,275.70901575306226,304.4532292057284
ICBHI_134 audio files,spectral_bandwidth,5,1579.4469128539831,205.08527814427842,1648.4940506088615,1362.8092391031785,1828.5914825290326,1366.3453056834533,1371.6494055538653,1685.690386474977,1771.4310441074103
ICBHI_134 audio files,spectral_rolloff,5,65.28947171539465,9.919373070837054,61.55021787035694,53.489326392919324,78.08441852872896,56.343756801363895,60.62540241403076,72.69799337093733,75.92984846561231
Other ICBHI COPD audio files,audio_duration,22,25.17972727272727,19.59727241755322,20.0,7.856,74.45,11.376,18.668,20.0,64.50500000000011
Other ICBHI COPD audio files,rms,22,0.12652760413898664,0.09110607142403361,0.09470786899328232,0.018567407503724098,0.33326372504234314,0.03845706582069397,0.05787033122032881,0.1804419755935669,0.2523329973220826
Other ICBHI COPD audio files,peak,22,0.7352766177871011,0.3183376886828485,0.999969482421875,0.15337908267974854,1.0,0.3585429787635803,0.42714715003967285,0.999969482421875,1.0
Other ICBHI COPD audio files,zcr,22,0.014346703072433414,0.013459911243251991,0.007871635541350548,0.0017502176436448055,0.05383761290264074,0.003198199678975624,0.005540285896897235,0.025809324713448326,0.030272819674744905
Other ICBHI COPD audio files,spectral_centroid,22,877.6054108111326,907.4723969827227,719.0223814562282,49.08000423266814,3413.1999836134764,91.48667658387377,129.35211999368053,1238.691677586944,1939.9989629290928
Other ICBHI COPD audio files,spectral_bandwidth,22,2210.346381498031,1867.0022079498183,2556.971806063339,136.35662322158444,5020.226775523176,158.14144570739435,178.6528431082573,3669.8655746068807,4438.7311750483805
Other ICBHI COPD audio files,spectral_rolloff,22,1300.7027648148985,2060.717890706845,353.2386252856573,54.00768301104972,7794.5446260156705,129.01508507541047,222.67998895399995,1071.242487326792,3755.6730686393653
