epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,1.34937158203125,1.1037725061964252,0.5659382064807837,0.4076027792086233,0.6355382187956792,0.4259000996313471
2,0.7190809694925944,1.0297013118739584,0.7015825169555389,0.5547805388962881,0.6965509328886568,0.569170788312889
3,0.5305337098439534,0.8258166367057557,0.746043707611153,0.5957919547771628,0.7442982306161972,0.6116922446391249
4,0.38485742020606994,0.7972252911634704,0.8161266013564431,0.5882399630494015,0.7609117243004875,0.6392595192713275
5,0.3409979587395986,0.627054839405514,0.838733986435569,0.6394180730926773,0.7494992005319234,0.675061308431563
6,0.3365982600053151,0.6815899179317759,0.8078372268274303,0.5733919786250365,0.7520713206438664,0.6163292319949027
7,0.2414265937805176,0.7758444597047685,0.838733986435569,0.6425905686322932,0.8051979373899523,0.6819415199148209
8,0.20777357308069866,0.7712603775102199,0.8500376789751318,0.675956001892368,0.8212962622888533,0.7079512798722268
9,0.23541911260286966,0.8198174040569112,0.8394875659382065,0.6412201180045042,0.8210236674212801,0.684390156038843
10,0.21116343172391255,0.6557182040298533,0.8296910324039186,0.6107372328565668,0.7656010838992934,0.6460455586587804
11,0.16998597971598306,0.7564922696052817,0.8628485305199699,0.6883119136692109,0.8168311723948687,0.7168688330398401
12,0.14501580254236857,0.7131322387826279,0.8620949510173324,0.6983738802055177,0.8245839142449555,0.727637453206918
13,0.1582527896563212,0.7227216859284252,0.854559155990957,0.6816615918325022,0.8022505809116222,0.7083456589530002
14,0.13260578076044718,0.7329749796924145,0.8500376789751318,0.6790302181699859,0.8026773262410225,0.7042764839453239
15,0.12238788461685181,0.7263087255230346,0.8500376789751318,0.6790302181699859,0.8026773262410225,0.7042764839453239
