epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.516549415681782,0.7948679096817252,0.8191409193669932,0.5663829787234043,0.8622027781735542,0.647852986086664
2,0.06987473664742101,0.6387101998291447,0.8997739261492087,0.7048927434506933,0.8630328986830325,0.7474451441999903
3,0.033534704242653916,0.981109326710947,0.8613413715146948,0.6484332420040122,0.8778902450822599,0.7046268973604316
4,0.030100919149804,0.8086622007280947,0.9012810851544838,0.679587722541863,0.8270707190639275,0.72777817071813
5,0.020276387644892556,0.9312581203907857,0.8914845516201959,0.730928477978414,0.8301368172199618,0.7615001966260528
6,0.012273967506812348,1.0962255596516133,0.8922381311228335,0.6975859637936117,0.8564773448864825,0.758991269735902
7,0.015221036260463117,1.1647550717415105,0.8764129615674454,0.6707115372850788,0.8751823561177338,0.7195431089424853
8,0.004603746586354368,0.9866036673087671,0.9133383571966842,0.7404483314512049,0.8789119529712244,0.7857163753044734
9,2.412591881821344e-06,0.9912976270399417,0.9140919366993218,0.7426943722050992,0.8718785213094742,0.7847215523703273
10,0.0025278768217813987,1.0971655541335243,0.908816880180859,0.7229685511466613,0.8785386866911871,0.7709806674374985
11,0.005898160868969796,0.8152744410686722,0.9261492087415222,0.7980900657548491,0.8663411943296694,0.8282358308617109
12,2.3867615975547876e-06,0.8462654837223881,0.9269027882441597,0.8053387430035264,0.8796745276630027,0.8374066330214038
13,1.619821218758677e-06,0.8577998740127287,0.9269027882441597,0.8053387430035264,0.8796745276630027,0.8374066330214038
14,9.661989951557412e-05,0.8593829877704511,0.9269027882441597,0.8053387430035264,0.8796745276630027,0.8374066330214038
15,1.4886717418861698e-06,0.859868617361807,0.9269027882441597,0.8053387430035264,0.8796745276630027,0.8374066330214038
